	faith_pd
515rcbc257	6.393826853
515rcbc255	8.410279106
515rcbc247	5.930836438999999
515rcbc263	7.705592656
515rcbc479	13.458824889999999
515rcbc267	7.545286088999999
515rcbc454	2.2735658549999997
515rcbc496	12.391490858
515rcbc484	13.299777484
515rcbc264	8.146645986
515rcbc239	8.419982815000001
515rcbc495	6.7362621780000005
515rcbc243	8.163344794
515rcbc254	9.307351667999999
515rcbc271	6.679549399
515rcbc464	5.027078994
515rcbc240	5.918179695
515rcbc472	5.909149298999999
515rcbc259	6.548670245
515rcbc265	7.471586055
515rcbc249	7.921233507
515rcbc256	7.269320577
515rcbc251	9.755977211000001
515rcbc466	1.0965246449999997
515rcbc470	5.024869325
515rcbc245	5.262867859
515rcbc269	8.249042375999998
515rcbc457	6.648840912999999
515rcbc471	6.205543893
515rcbc262	7.5322825799999995
515rcbc478	9.051249446
515rcbc465	5.222953969
515rcbc253	9.268253875
515rcbc242	9.498691062999999
515rcbc467	6.12863039
515rcbc268	6.480535102
515rcbc261	7.677187755999999
515rcbc461	7.2167909539999995
515rcbc493	9.957716823
515rcbc252	10.199485366
515rcbc241	5.493841516
515rcbc480	14.558610853000001
515rcbc482	13.806031636
515rcbc456	7.868137726999999
515rcbc250	4.823493663
515rcbc266	7.196226094000001
515rcbc462	3.8795980009999997
515rcbc244	7.9561341169999995
515rcbc248	3.537279097
515rcbc270	8.594836148
515rcbc258	6.705925108
515rcbc483	7.41473685
515rcbc477	6.467354382
515rcbc458	0.8203912359999997
