	observed_otus
515rcbc257	85
515rcbc255	121
515rcbc247	78
515rcbc263	104
515rcbc479	239
515rcbc267	109
515rcbc454	11
515rcbc496	195
515rcbc484	236
515rcbc264	106
515rcbc239	127
515rcbc495	76
515rcbc243	139
515rcbc254	128
515rcbc271	89
515rcbc464	48
515rcbc240	69
515rcbc472	70
515rcbc259	91
515rcbc265	103
515rcbc249	127
515rcbc256	107
515rcbc251	169
515rcbc466	4
515rcbc470	55
515rcbc245	79
515rcbc269	120
515rcbc457	96
515rcbc471	88
515rcbc262	99
515rcbc478	129
515rcbc465	61
515rcbc253	144
515rcbc242	159
515rcbc467	77
515rcbc268	89
515rcbc261	99
515rcbc461	92
515rcbc493	144
515rcbc252	169
515rcbc241	69
515rcbc480	269
515rcbc482	266
515rcbc456	105
515rcbc250	59
515rcbc266	100
515rcbc462	35
515rcbc244	119
515rcbc248	24
515rcbc270	119
515rcbc258	94
515rcbc483	90
515rcbc477	76
515rcbc458	2
